2010	I-DATE
–	O
Now	I-DATE

SOFTWARE	B-POSITION
ENGINEER	I-POSITION
Berkshire	B-COMPANY
Software	I-COMPANY
Design	I-COMPANY
May	B-DATE
2010	I-DATE
to	O
Jan	B-DATE
2015	I-DATE

WEBSITE	B-POSITION
ADMINISTRATOR	I-POSITION
at	O
Environmental	B-COMPANY
Charity	I-COMPANY
August	B-DATE
2009	I-DATE
–	O
Jan	B-DATE
2010	I-DATE

VOLUNTARY	O
EXPERIENCE	O
Environmental	B-COMPANY
Charity	I-COMPANY
-	O
Berkshire	O

Site	B-POSITION
Engineer	I-POSITION
at	O
AASF	B-COMPANY
Winter	I-COMPANY
Project	I-COMPANY
December	B-DATE
2018	I-DATE

Software	B-POSITION
Intern	I-POSITION
at	O
XYZ	B-COMPANY
Solutions	I-COMPANY
July	B-DATE
2019	I-DATE

AASF	B-COMPANY
Winter	I-COMPANY
Project	I-COMPANY

December	B-DATE
2018	I-DATE

Site	B-POSITION
Engineer	I-POSITION

AASF	B-COMPANY
Winter	I-COMPANY
Project	I-COMPANY
December	B-DATE
2018	I-DATE
Site	B-POSITION
Engineer	I-POSITION

Built	O
a	O
shopping	O
Cart	O
Website	O
with	O
Django	O
.	O

Hygeine	O
Problems	O
in	O
India	O
,	O
The	O
growing	O
issue	O
of	O
Today	O
.	O

Co-Organized	O
IIITM	O
Open	O
Mic	O
-	O
a	O
Regional	O
Open	O
Mic	O
of	O
IIITM	O
,	O
Gwalior	O

Attended	O
a	O
workshop	O
on	O
Ethical	O
Hacking	O
at	O
ABV-IIITM	O
Gwalior	O
in	O
2017	B-DATE

Winner	O
of	O
Singing	O
Competition	O
at	O
Matra	O
Bhasha	O
Diwas-2019	O

Highly	O
motivated	O
and	O
eager	O
to	O
learn	O
new	O
things	O
.	O

Token     Tag
TCS       B-COMPANY
Ltd.      I-COMPANY
Software  B-POSITION
Engineer  I-POSITION
Jan       B-DATE
2020      I-DATE
to        O
Dec       B-DATE
2021      I-DATE
.         O

Google     B-COMPANY
LLC        I-COMPANY
Software   B-POSITION
Engineer   I-POSITION
March      B-DATE
2019       I-DATE
to         O
April      B-DATE
2022       I-DATE
.          O

AASF       B-COMPANY
Winter     I-COMPANY
Project    I-COMPANY
Site       B-POSITION
Engineer   I-POSITION
December   B-DATE
2018       I-DATE

TCS     B-COMPANY
Software    B-POSITION
Engineer    I-POSITION
Jan     B-DATE
2020    I-DATE
to      O
Dec     B-DATE
2021    I-DATE

Bachelor    O
of          O
Engineering O
SPPU        O
University  O

Antony  O
Deepak  O
Thomas  O

2018    B-DATE
-   O
2020    I-DATE

07/2018  B-DATE
-   O
03/2020  I-DATE

Mar B-DATE
2019    I-DATE
to  O
Present I-DATE

Berkshire B-COMPANY
Software I-COMPANY
Design I-COMPANY
May B-DATE
2010 I-DATE
to O
Present I-DATE
SOFTWARE B-POSITION
ENGINEER I-POSITION

SOFTWARE B-POSITION
ENGINEER I-POSITION
Berkshire B-COMPANY
Software I-COMPANY
Design I-COMPANY
May B-DATE
2010 I-DATE
to O
Present I-DATE

Company O
: O
Berkshire B-COMPANY
Software I-COMPANY
Design I-COMPANY
Position O
: O
Software B-POSITION
Engineer I-POSITION
Duration O
: O
May B-DATE
2010 I-DATE
to O
Present I-DATE
